#SEQ,DATA,CMD,RECV,REPEAT,DELAY,RESULT
1,Barcode Power OFF,BB 00 01 00 06 00 FF FF FF FF 20 7E,BB 01 08 00 01 00 7E,1,100,0
2,Barcode Power ON,BB 00 01 00 06 FF FF FF FF FF 20 7E,BB 01 08 00 01 FF 7E,1,100,0
3,SetBeep,BB 00 AB 00 04 FF FF FF FF 7E,BB 01 AB 00 01 00 7E,1,100,0
4,GetInformation,BB 00 03 00 01 00 7E,BB 01 03 00 20 B1,1,100,0
5,Barcode Start Read,BB 20 36 00 05 02 00 00 00 00 7E,BB 02 22,1,5000,0
6,Barcode Stop Read,BB 20 37 00 01 00 7E,BB 01 37 00 01 00 7E,1,100,0
7,Barcode Power OFF,BB 00 01 00 06 00 FF FF FF FF 20 7E,BB 01 08 00 01 00 7E,1,100,0
